Ano,Unidade geográfica,1 Série,2 Série,3 Série,4 Serie
2021,Brasil,91.1,89.3,92.3,87.8
2021,Norte,82.3,79.1,84.8,90.9
2021,Nordeste,92.0,89.5,91.8,90.1
2021,Centro-Oeste,87.3,88.7,91.8,78.5
2021,Sudeste,93.9,92.7,94.9,84.4
2021,Sul,89.5,87.9,91.3,87.3
2020,Brasil,94.1,95.8,95.5,85.7
2020,Norte,95.9,97.2,97.8,97.3
2020,Nordeste,97.2,97.8,96.0,91.4
2020,Centro-Oeste,91.6,93.9,95.4,81.5
2020,Sudeste,93.6,95.7,95.7,76.6
2020,Sul,89.5,91.9,92.2,88.7
2019,Brasil,80.5,87.3,92.5,88.9
2019,Norte,76.4,82.7,87.0,93.8
2019,Nordeste,80.8,87.7,92.5,85.2
2019,Centro-Oeste,79.9,91.5,91.5,94.6
2019,Sudeste,82.7,88.8,94.3,89.1
2019,Sul,77.1,85.9,91.5,92.4
2018,Brasil,76.7,85.0,90.5,87.6
2018,Norte,75.0,81.6,87.0,93.8
2018,Nordeste,76.8,84.9,90.2,78.7
2018,Centro-Oeste,79.4,87.2,91.3,90.2
2018,Sudeste,78.2,86.6,92.4,91.7
2018,Sul,72.1,81.3,87.1,93.3
2017,Brasil,76.4,84.7,90.5,85.2
2017,Norte,74.2,81.9,85.9,94.3
2017,Nordeste,76.2,84.9,90.3,83.5
2017,Centro-Oeste,76.9,86.3,91.2,89.1
2017,Sudeste,78.4,86.3,92.4,81.9
2017,Sul,71.6,80.1,87.8,91.8
